state,Race,% Readmission
ALABAMA,American Indian/Alaska native,15.767441860465116
ALABAMA,Asian/Pacific islander,15.48
ALABAMA,Black,15.403688524590164
ALABAMA,Hispanic,15.300653594771243
ALABAMA,Other,15.555555555555555
ALABAMA,White,15.36078431372549
ALASKA,American Indian/Alaska native,15.0
ALASKA,Asian/Pacific islander,14.173913043478262
ALASKA,Black,14.0
ALASKA,Hispanic,13.925925925925926
ALASKA,Other,13.333333333333334
ALASKA,White,14.603174603174603
ARIZONA,American Indian/Alaska native,15.127450980392156
ARIZONA,Asian/Pacific islander,15.081967213114755
ARIZONA,Black,14.943661971830986
ARIZONA,Hispanic,14.963302752293577
ARIZONA,Other,15.031746031746032
ARIZONA,White,14.947368421052632
ARKANSAS,American Indian/Alaska native,15.722222222222221
ARKANSAS,Asian/Pacific islander,15.771929824561404
ARKANSAS,Black,15.885813148788927
ARKANSAS,Hispanic,15.925619834710744
ARKANSAS,Other,15.807692307692308
ARKANSAS,White,15.862579281183933
CALIFORNIA,American Indian/Alaska native,15.338666666666667
CALIFORNIA,Asian/Pacific islander,15.405099150141643
CALIFORNIA,Black,15.485632183908047
CALIFORNIA,Hispanic,15.395033860045146
CALIFORNIA,Other,15.353503184713375
CALIFORNIA,White,15.346
COLORADO,American Indian/Alaska native,14.402061855670103
COLORADO,Asian/Pacific islander,14.47191011235955
COLORADO,Black,14.553191489361701
COLORADO,Hispanic,14.731225296442688
COLORADO,Other,14.53191489361702
COLORADO,White,14.987562189054726
CONNECTICUT,American Indian/Alaska native,16.258064516129032
CONNECTICUT,Asian/Pacific islander,16.016393442622952
CONNECTICUT,Black,15.971830985915492
CONNECTICUT,Hispanic,16.041666666666668
CONNECTICUT,Other,16.05
CONNECTICUT,White,15.916666666666666
DELAWARE,American Indian/Alaska native,15.0
DELAWARE,Asian/Pacific islander,15.851851851851851
DELAWARE,Black,15.703703703703704
DELAWARE,Hispanic,15.703703703703704
DELAWARE,Other,15.703703703703704
DELAWARE,White,15.814814814814815
DISTRICT OF COLUMBIA,American Indian/Alaska native,17.125
DISTRICT OF COLUMBIA,Asian/Pacific islander,16.77777777777778
DISTRICT OF COLUMBIA,Black,16.77777777777778
DISTRICT OF COLUMBIA,Hispanic,16.77777777777778
DISTRICT OF COLUMBIA,Other,16.555555555555557
DISTRICT OF COLUMBIA,White,16.444444444444443
FLORIDA,American Indian/Alaska native,16.596491228070175
FLORIDA,Asian/Pacific islander,16.346749226006192
FLORIDA,Black,16.139874739039666
FLORIDA,Hispanic,16.319095477386934
FLORIDA,Other,16.317901234567902
FLORIDA,White,16.0921568627451
