year,county,state,area_type,primary_race,value
2020,Autauga County,ALABAMA,Urban,White,15
2020,Baldwin County,ALABAMA,Rural,White,16
2020,Barbour County,ALABAMA,Rural,White,16
2020,Bibb County,ALABAMA,Urban,White,15
2020,Bullock County,ALABAMA,Rural,White,16
2020,Butler County,ALABAMA,Rural,White,15
2020,Calhoun County,ALABAMA,Urban,White,15
2020,Cherokee County,ALABAMA,Rural,White,15
2020,Choctaw County,ALABAMA,Rural,White,15
2020,Clarke County,ALABAMA,Rural,White,16
2020,Clay County,ALABAMA,Rural,White,17
2020,Coffee County,ALABAMA,Rural,White,16
2020,Colbert County,ALABAMA,Urban,White,15
2020,Conecuh County,ALABAMA,Rural,White,17
2020,Covington County,ALABAMA,Rural,White,17
2020,Crenshaw County,ALABAMA,Rural,White,16
2020,Cullman County,ALABAMA,Rural,White,17
2020,Dale County,ALABAMA,Rural,White,15
2020,Dallas County,ALABAMA,Rural,White,16
2020,DeKalb County,ALABAMA,Rural,White,16
2020,Elmore County,ALABAMA,Urban,White,15
2020,Escambia County,ALABAMA,Rural,White,17
2020,Etowah County,ALABAMA,Urban,White,17
2020,Fayette County,ALABAMA,Rural,White,14
2020,Franklin County,ALABAMA,Rural,White,16
2020,Geneva County,ALABAMA,Urban,White,15
2020,Greene County,ALABAMA,Urban,White,16
2020,Hale County,ALABAMA,Urban,White,16
2020,Houston County,ALABAMA,Urban,White,14
2020,Jackson County,ALABAMA,Rural,White,16
2020,Jefferson County,ALABAMA,Urban,White,17
2020,Lauderdale County,ALABAMA,Urban,White,15
2020,Lawrence County,ALABAMA,Urban,White,15
2020,Lee County,ALABAMA,Urban,White,14
2020,Limestone County,ALABAMA,Urban,White,15
2020,Madison County,ALABAMA,Urban,White,16
2020,Marengo County,ALABAMA,Rural,White,16
2020,Marion County,ALABAMA,Rural,White,15
2020,Marshall County,ALABAMA,Rural,White,14
2020,Mobile County,ALABAMA,Urban,White,16
2020,Monroe County,ALABAMA,Rural,White,16
2020,Montgomery County,ALABAMA,Urban,White,16
2020,Morgan County,ALABAMA,Urban,White,15
2020,Pickens County,ALABAMA,Rural,White,16
2020,Pike County,ALABAMA,Rural,White,16
2020,Russell County,ALABAMA,Urban,White,16
2020,St. Clair County,ALABAMA,Urban,White,16
2020,Shelby County,ALABAMA,Urban,White,15
2020,Talladega County,ALABAMA,Rural,White,16
