Row Labels,Average of value
HAWAII,14.28235294
ALASKA,14.51948052
IDAHO,14.54703833
UTAH,14.58071279
OREGON,14.60233918
WASHINGTON,14.68927589
COLORADO,14.74344023
WISCONSIN,14.92222222
MONTANA,14.94712991
MAINE,14.99082569
ARIZONA,15.01153846
INDIANA,15.0505698
IOWA,15.07365893
SOUTH DAKOTA,15.08985025
WYOMING,15.11748634
NEW MEXICO,15.16569767
NEBRASKA,15.25176471
NORTH DAKOTA,15.34848485
MARYLAND,15.36633663
GEORGIA,15.37356792
MICHIGAN,15.37507711
CALIFORNIA,15.38491213
NORTH CAROLINA,15.39630931
ALABAMA,15.40074074
KANSAS,15.41572238
MINNESOTA,15.41954507
SOUTH CAROLINA,15.42403178
VERMONT,15.44102564
TEXAS,15.47056075
Grand Total,15.51537035
OKLAHOMA,15.52305749
VIRGINIA,15.54516971
NEW HAMPSHIRE,15.54895105
OHIO,15.67011494
NEVADA,15.68932039
MISSOURI,15.6964018
PENNSYLVANIA,15.73522167
DELAWARE,15.74452555
TENNESSEE,15.74668528
LOUISIANA,15.78194946
ILLINOIS,15.82241814
ARKANSAS,15.86137667
WEST VIRGINIA,15.91577335
MISSISSIPPI,15.93370551
RHODE ISLAND,15.94318182
KENTUCKY,16.00979653
CONNECTICUT,16.01907357
PUERTO RICO,16.24583333
FLORIDA,16.25306122
NEW YORK,16.44920635
NEW JERSEY,16.54056902
MASSACHUSETTS,16.68305085
DISTRICT OF COLUMBIA,16.73584906
